domain,domain_display_name,model,metric_group,metric,subkey,value,count
synthetic_test,synthetic_test,tcd,per_channel,near_doubles_right,pair_error_px.mean,,0
synthetic_test,synthetic_test,tcd,per_channel,far_singles_left,pck,0.005=0; 0.01=0; 0.02=0; 0.05=0.00980392,102
synthetic_test,synthetic_test,tcd,per_channel,far_singles_left,pair_error_px.mean,70.8876,4
synthetic_test,synthetic_test,tcd,per_channel,near_singles_left,pck,0.005=0; 0.01=0; 0.02=0; 0.05=0,18
synthetic_test,synthetic_test,tcd,per_channel,near_singles_left,pair_error_px.mean,,0
synthetic_test,synthetic_test,tcd,per_channel,far_singles_right,pck,0.005=0; 0.01=0; 0.02=0.00961538; 0.05=0.0192308,104
synthetic_test,synthetic_test,tcd,per_channel,far_singles_right,pair_error_px.mean,68.4542,4
synthetic_test,synthetic_test,tcd,per_channel,near_singles_right,pck,0.005=0; 0.01=0; 0.02=0; 0.05=0,13
synthetic_test,synthetic_test,tcd,per_channel,near_singles_right,pair_error_px.mean,,0
synthetic_test,synthetic_test,tcd,per_channel,far_service_left,pck,0.005=0; 0.01=0; 0.02=0; 0.05=0.00909091,110
synthetic_test,synthetic_test,tcd,per_channel,far_service_left,pair_error_px.mean,57.8342,2
synthetic_test,synthetic_test,tcd,per_channel,far_service_right,pck,0.005=0; 0.01=0; 0.02=0.00934579; 0.05=0.0186916,107
synthetic_test,synthetic_test,tcd,per_channel,far_service_right,pair_error_px.mean,24.7723,2
synthetic_test,synthetic_test,tcd,per_channel,near_service_left,pck,0.005=0; 0.01=0; 0.02=0; 0.05=0,73
synthetic_test,synthetic_test,tcd,per_channel,near_service_left,pair_error_px.mean,,0
synthetic_test,synthetic_test,tcd,per_channel,near_service_right,pck,0.005=0; 0.01=0.0128205; 0.02=0.0128205; 0.05=0.0128205,78
synthetic_test,synthetic_test,tcd,per_channel,near_service_right,pair_error_px.mean,6.04996,1
synthetic_test,synthetic_test,tcd,per_channel,far_service_t,pck,0.005=0; 0.01=0; 0.02=0.00833333; 0.05=0.00833333,120
synthetic_test,synthetic_test,tcd,per_channel,far_service_t,pair_error_px.mean,60.9605,3
synthetic_test,synthetic_test,tcd,per_channel,near_service_t,pck,0.005=0; 0.01=0; 0.02=0; 0.05=0,76
synthetic_test,synthetic_test,tcd,per_channel,near_service_t,pair_error_px.mean,444.581,2
